# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,267,0:06.002.822,8.087.687 ms,4 B,,01,01,IN txn   [1 POLL],00 01 FF 00,,....
1,,268,0:06.002.822,37.833 us,,,01,01,   [1 IN-NAK],,,
1,,269,0:06.010.823,22.645 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,270,0:06.010.849,44.458 us,7 B,,01,01,   DATA1 packet,4B 00 01 FF 00 EF EB,,K......
1,,271,0:06.010.898,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,272,0:06.018.823,85.479 us,4 B,,01,01,IN txn,00 01 00 00,,....
1,,273,0:06.018.823,22.645 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,274,0:06.018.849,43.791 us,7 B,,01,01,   DATA0 packet,C3 00 01 00 00 AE 1B,,.......
1,,275,0:06.018.897,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,276,0:06.026.824,16.087.458 ms,4 B,,01,01,IN txn   [2 POLL],00 01 00 00,,....
1,,277,0:06.026.824,8.038.937 ms,,,01,01,   [2 IN-NAK],,,
1,,278,0:06.042.826,22.666 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,279,0:06.042.852,43.791 us,7 B,,01,01,   DATA1 packet,4B 00 01 00 00 AE 1B,,K......
1,,280,0:06.042.900,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,281,0:06.050.827,86.479 us,4 B,,01,01,IN txn,00 00 FF 00,,....
1,,282,0:06.050.827,22.645 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,283,0:06.050.853,44.458 us,7 B,,01,01,   DATA0 packet,C3 00 00 FF 00 BE 2B,,......+
1,,284,0:06.050.901,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,285,0:06.058.827,24.087.729 ms,4 B,,01,01,IN txn   [3 POLL],00 01 00 00,,....
1,,286,0:06.058.827,16.039.208 ms,,,01,01,   [3 IN-NAK],,,
1,,287,0:06.082.830,22.666 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,288,0:06.082.855,43.791 us,7 B,,01,01,   DATA1 packet,4B 00 01 00 00 AE 1B,,K......
1,,289,0:06.082.903,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,290,0:06.090.830,40.090.187 ms,4 B,,01,01,IN txn   [5 POLL],00 00 FF 00,,....
1,,291,0:06.090.830,32.041.000 ms,,,01,01,   [5 IN-NAK],,,
1,,292,0:06.130.834,22.645 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,293,0:06.130.860,44.458 us,7 B,,01,01,   DATA0 packet,C3 00 00 FF 00 BE 2B,,......+
1,,294,0:06.130.909,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,295,0:06.138.835,88.094.437 ms,4 B,,01,01,IN txn   [11 POLL],00 01 00 00,,....
1,,296,0:06.138.835,80.045.229 ms,,,01,01,   [11 IN-NAK],,,
1,,297,0:06.226.844,22.645 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,298,0:06.226.870,43.791 us,7 B,,01,01,   DATA1 packet,4B 00 01 00 00 AE 1B,,K......
1,,299,0:06.226.918,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,300,0:06.234.844,86.583 us,4 B,,01,01,IN txn,00 FF 00 00,,....
1,,301,0:06.234.844,22.666 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,302,0:06.234.871,44.437 us,7 B,,01,01,   DATA0 packet,C3 00 FF 00 00 CF EB,,.......
1,,303,0:06.234.919,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,304,0:06.242.845,1.992.230.812 s,,,01,01,[250 IN-NAK],,[Periodic Timeout],
0,,305,0:08.243.039,160.053.541 ms,,,01,01,[21 IN-NAK],,,
0,,306,0:08.411.055,22.666 us,,U,01,01,[1 ORPHANED],,,
1,,307,0:08.411.055,22.666 us,,,01,01,   [1 IN],,,
0,,308,0:08.411.055,,,,,,Capture stopped,,[Wed May 13 18:37:00 2009],
